_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,CHILD_GO_MyList
1,-6.372164356323046,GO:0048519,negative regulation of biological process,M1,1,GO:0010639 negative regulation of organelle organization
1,-6.3471505857835355,GO:0023052,signaling,M1,1,GO:0000165 MAPK cascade
1,-5.483134335310758,GO:0050896,response to stimulus,M1,1,GO:1900076 regulation of cellular response to insulin stimulus
1,-5.361308703910972,GO:0048518,positive regulation of biological process,M1,1,GO:0032727 positive regulation of interferon-alpha production
1,-5.049283315908486,GO:0032501,multicellular organismal process,M1,1,GO:0032647 regulation of interferon-alpha production
1,-5.003946533969169,GO:0032502,developmental process,M1,1,GO:0090140 regulation of mitochondrial fission
1,-4.254114887579335,GO:0008152,metabolic process,M1,1,GO:0043549 regulation of kinase activity
1,-4.235715565791914,GO:0050789,regulation of biological process,M1,1,GO:0010821 regulation of mitochondrion organization
1,-4.094626899157195,GO:0065007,biological regulation,M1,1,GO:0051347 positive regulation of transferase activity
1,-3.376604067391601,GO:0044419,biological process involved in interspecies interaction between organisms,M1,1,GO:0051607 defense response to virus
1,-2.5833607214727734,GO:0002376,immune system process,M1,1,GO:1903706 regulation of hemopoiesis
1,-2.5461944070870213,GO:0051179,localization,M1,1,GO:0006897 endocytosis
1,-2.2564254279011426,GO:0009987,cellular process,M1,1,GO:0034330 cell junction organization
1,-2.2563088337228123,GO:0040007,growth,M1,1,GO:0045927 positive regulation of growth
1,-2.162122839298592,GO:0042592,homeostatic process,M1,1,GO:0055082 cellular chemical homeostasis
1,-2.1126553219482727,GO:0022414,reproductive process,M1,1,GO:0048608 reproductive structure development
