_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-7.2,C0276496,M1,1,0,DisGeNET,35,Familial Alzheimer Disease (FAD),,-7.2,19,11,30182,260,42,7,17,5.8,322|2185|4137|4782|5468|7879|57091,APBB1|PTK2B|MAPT|NFIC|PPARG|RAB7A|CASS4,-2.7,0
1,-6.1,C0027796,M1,1,0,DisGeNET,35,Neuralgia,,-6.1,8.4,7.8,30182,767,42,9,21,6.3,2100|2185|3661|3663|5468|7098|7593|10818|120892,ESR2|PTK2B|IRF3|IRF5|PPARG|TLR3|MZF1|FRS2|LRRK2,-1.9,0
1,-5.8,C0014170,M1,1,0,DisGeNET,35,Endometrial Neoplasms,,-5.8,17,9.4,30182,261,42,6,14,5.4,2100|2119|2272|5468|7098|8289,ESR2|ETV5|FHIT|PPARG|TLR3|ARID1A,-1.9,0
1,-4.9,C0740304,M1,1,0,DisGeNET,35,COPD exacerbation,,-4.9,65,14,30182,33,42,3,7.1,4,3661|5468|7098,IRF3|PPARG|TLR3,-1.1,0
1,-4.8,C0494463,M1,1,0,DisGeNET,35,"Alzheimer Disease, Late Onset",,-4.8,11,7.5,30182,385,42,6,14,5.4,322|2185|4137|5468|57091|120892,APBB1|PTK2B|MAPT|PPARG|CASS4|LRRK2,-1.1,0
1,-4.6,C0019348,M1,1,0,DisGeNET,35,Herpes Simplex Infections,,-4.6,7.8,6.5,30182,645,42,7,17,5.8,2119|3661|4137|4599|4605|4782|7098,ETV5|IRF3|MAPT|MX1|MYBL2|NFIC|TLR3,-1,0
1,-4.5,C0001339,M1,1,0,DisGeNET,35,Acute pancreatitis,,-4.5,9.9,7,30182,435,42,6,14,5.4,2100|2119|2185|7098|7879|9863,ESR2|ETV5|PTK2B|TLR3|RAB7A|MAGI2,-1,0
1,-4.4,C0019099,M1,1,0,DisGeNET,35,"Hemorrhagic Fever, Crimean",,-4.4,46,11,30182,47,42,3,7.1,4,287|3661|7098,ANK2|IRF3|TLR3,-1,0
1,-4.4,C0948750,M1,1,0,DisGeNET,35,Salivary gland carcinoma,,-4.4,46,11,30182,47,42,3,7.1,4,2100|2272|5468,ESR2|FHIT|PPARG,-1,0
1,-4.4,C0023508,M1,1,0,DisGeNET,35,White Blood Cell Count procedure,,-4.4,7.4,6.3,30182,681,42,7,17,5.8,2185|4782|8289|11016|51043|91768|158471,PTK2B|NFIC|ARID1A|ATF7|ZBTB7B|CABLES1|PRUNE2,-1,0
1,-4.4,C0002726,M1,1,0,DisGeNET,35,Amyloidosis,,-4.4,7.2,6.2,30182,694,42,7,17,5.8,2100|4137|4782|5468|9863|89795|120892,ESR2|MAPT|NFIC|PPARG|MAGI2|NAV3|LRRK2,-1,0
1,-4.3,C0027059,M1,1,0,DisGeNET,35,Myocarditis,,-4.3,13,7.3,30182,285,42,5,12,5,2100|2729|3661|3663|7098,ESR2|GCLC|IRF3|IRF5|TLR3,-1,0
1,-4.3,C0442874,M1,1,0,DisGeNET,35,Neuropathy,,-4.3,8.9,6.6,30182,483,42,6,14,5.4,2729|3661|4137|5468|7879|55790,GCLC|IRF3|MAPT|PPARG|RAB7A|CSGALNACT1,-1,0
1,-4.3,C0079772,M1,1,0,DisGeNET,35,T-Cell Lymphoma,,-4.3,8.9,6.5,30182,485,42,6,14,5.4,2100|5468|7098|7593|8289|89795,ESR2|PPARG|TLR3|MZF1|ARID1A|NAV3,-1,0
1,-4.3,C0013363,M1,1,0,DisGeNET,35,Dysautonomia,,-4.3,19,8.4,30182,148,42,4,9.5,4.5,287|4137|57091|120892,ANK2|MAPT|CASS4|LRRK2,-1,0
1,-4.2,C0002170,M1,1,0,DisGeNET,35,Alopecia,,-4.2,8.8,6.5,30182,491,42,6,14,5.4,1879|2887|3663|4137|4599|5468,EBF1|GRB10|IRF5|MAPT|MX1|PPARG,-1,0
1,-4.2,C3714514,M1,1,0,DisGeNET,35,Infection,,-4.2,8.8,6.5,30182,491,42,6,14,5.4,2272|3661|4137|4599|5468|7098,FHIT|IRF3|MAPT|MX1|PPARG|TLR3,-1,0
1,-4.2,C0024143,M1,1,0,DisGeNET,35,Lupus Nephritis,,-4.2,8.6,6.4,30182,503,42,6,14,5.4,2185|3661|3663|4599|7098|120892,PTK2B|IRF3|IRF5|MX1|TLR3|LRRK2,-0.97,0
1,-4.1,C0333641,M1,1,0,DisGeNET,35,Atrophic,,-4.1,37,10,30182,58,42,3,7.1,4,4137|7098|120892,MAPT|TLR3|LRRK2,-0.96,0
1,-4.1,C0014061,M1,1,0,DisGeNET,35,Tick-Borne Encephalitis,,-4.1,37,10,30182,59,42,3,7.1,4,3661|4137|7098,IRF3|MAPT|TLR3,-0.96,0
