Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
DisGeNET,35,C0276496,Familial Alzheimer Disease (FAD),,-7.2,19,11,30182,260,42,7,17,5.8,322|2185|4137|4782|5468|7879|57091,APBB1|PTK2B|MAPT|NFIC|PPARG|RAB7A|CASS4,-2.7,MyList
DisGeNET,35,C0027796,Neuralgia,,-6.1,8.4,7.8,30182,767,42,9,21,6.3,2100|2185|3661|3663|5468|7098|7593|10818|120892,ESR2|PTK2B|IRF3|IRF5|PPARG|TLR3|MZF1|FRS2|LRRK2,-1.9,MyList
TRRUST,34,TRR00230,Regulated by: E2F1,,-5.8,25,11,30182,142,42,5,12,5,2272|3661|4605|5468|7098,FHIT|IRF3|MYBL2|PPARG|TLR3,-1.9,MyList
DisGeNET,35,C0014170,Endometrial Neoplasms,,-5.8,17,9.4,30182,261,42,6,14,5.4,2100|2119|2272|5468|7098|8289,ESR2|ETV5|FHIT|PPARG|TLR3|ARID1A,-1.9,MyList
DisGeNET,35,C0740304,COPD exacerbation,,-4.9,65,14,30182,33,42,3,7.1,4,3661|5468|7098,IRF3|PPARG|TLR3,-1.1,MyList
DisGeNET,35,C0494463,"Alzheimer Disease, Late Onset",,-4.8,11,7.5,30182,385,42,6,14,5.4,322|2185|4137|5468|57091|120892,APBB1|PTK2B|MAPT|PPARG|CASS4|LRRK2,-1.1,MyList
DisGeNET,35,C0019348,Herpes Simplex Infections,,-4.6,7.8,6.5,30182,645,42,7,17,5.8,2119|3661|4137|4599|4605|4782|7098,ETV5|IRF3|MAPT|MX1|MYBL2|NFIC|TLR3,-1,MyList
DisGeNET,35,C0001339,Acute pancreatitis,,-4.5,9.9,7,30182,435,42,6,14,5.4,2100|2119|2185|7098|7879|9863,ESR2|ETV5|PTK2B|TLR3|RAB7A|MAGI2,-1,MyList
DisGeNET,35,C0948750,Salivary gland carcinoma,,-4.4,46,11,30182,47,42,3,7.1,4,2100|2272|5468,ESR2|FHIT|PPARG,-1,MyList
DisGeNET,35,C0019099,"Hemorrhagic Fever, Crimean",,-4.4,46,11,30182,47,42,3,7.1,4,287|3661|7098,ANK2|IRF3|TLR3,-1,MyList
