_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-4.3,M19368,M1,1,0,Transcription Factor Targets,16,TGATTTRY GFI1 01,,-4.3,12,7.2,30182,296,42,5,12,5,1879|1912|2887|5454|7050,EBF1|PHC2|GRB10|POU3F2|TGIF1,-1,0
1,-3.9,M4134,M1,1,0,Transcription Factor Targets,16,AP2REP 01,,-3.9,16,7.5,30182,182,42,4,9.5,4.5,1912|2272|4137|8289,PHC2|FHIT|MAPT|ARID1A,-0.91,0
1,-3.8,M3794,M1,1,0,Transcription Factor Targets,16,HEN1 02,,-3.8,14,7.1,30182,200,42,4,9.5,4.5,287|2119|7050|171017,ANK2|ETV5|TGIF1|ZNF384,-0.81,0
1,-3.7,M13279,M1,1,0,Transcription Factor Targets,16,HFH8 01,,-3.7,14,6.9,30182,208,42,4,9.5,4.5,2119|5454|7050|8820,ETV5|POU3F2|TGIF1|HESX1,-0.79,0
1,-3.4,M18732,M1,1,0,Transcription Factor Targets,16,AP2ALPHA 01,,-3.4,12,6.3,30182,243,42,4,9.5,4.5,1912|5454|6945|8289,PHC2|POU3F2|MLX|ARID1A,-0.69,0
1,-3.4,M2528,M1,1,0,Transcription Factor Targets,16,S8 01,,-3.4,12,6.3,30182,247,42,4,9.5,4.5,287|1912|2100|8820,ANK2|PHC2|ESR2|HESX1,-0.69,0
1,-3.4,M16396,M1,1,0,Transcription Factor Targets,16,AP2GAMMA 01,,-3.4,11,6.2,30182,252,42,4,9.5,4.5,1912|5454|6945|8289,PHC2|POU3F2|MLX|ARID1A,-0.68,0
1,-3.4,M6144,M1,1,0,Transcription Factor Targets,16,STAT5B 01,,-3.4,11,6.1,30182,255,42,4,9.5,4.5,322|2119|2887|8289,APBB1|ETV5|GRB10|ARID1A,-0.67,0
1,-3.3,M3741,M1,1,0,Transcription Factor Targets,16,CEBPGAMMA Q6,,-3.3,11,6.1,30182,259,42,4,9.5,4.5,5468|8820|89795|158471,PPARG|HESX1|NAV3|PRUNE2,-0.67,0
1,-3.3,M572,M1,1,0,Transcription Factor Targets,16,TGCCAAR NF1 Q6,,-3.3,5.9,5,30182,727,42,6,14,5.4,2119|4137|5468|10818|51347|89795,ETV5|MAPT|PPARG|FRS2|TAOK3|NAV3,-0.66,0
1,-3.3,M17779,M1,1,0,Transcription Factor Targets,16,PAX2 02,,-3.3,11,6,30182,265,42,4,9.5,4.5,2119|2185|5454|5468,ETV5|PTK2B|POU3F2|PPARG,-0.66,0
1,-3.3,M13052,M1,1,0,Transcription Factor Targets,16,GATA6 01,,-3.3,11,6,30182,268,42,4,9.5,4.5,1912|2119|7050|51043,PHC2|ETV5|TGIF1|ZBTB7B,-0.66,0
1,-3.1,M6628,M1,1,0,Transcription Factor Targets,16,GTGGGTGK UNKNOWN,,-3.1,9.7,5.6,30182,297,42,4,9.5,4.5,4137|5468|158471|171017,MAPT|PPARG|PRUNE2|ZNF384,-0.57,0
1,-2.9,M402,M1,1,0,Transcription Factor Targets,16,TTCYRGAA UNKNOWN,,-2.9,8.5,5.2,30182,340,42,4,9.5,4.5,2887|4137|7050|171017,GRB10|MAPT|TGIF1|ZNF384,-0.44,0
1,-2.7,M11607,M1,1,0,Transcription Factor Targets,16,AAAYRNCTG UNKNOWN,,-2.7,7.7,4.8,30182,375,42,4,9.5,4.5,1912|8289|8820|89795,PHC2|ARID1A|HESX1|NAV3,-0.34,0
